name,form / era / buff,anime,tier,attack,speed,durability,intelligence,stamina,lifting_strength,striking_strength,image_links,durability_negation,regeneration,power_amplification,mobility_hax,time_space_manip,mind_soul_hax,resistance_physical,resistance_hax,notes
Sasuke Uchiha,New Era / Susano'o,Naruto,34.7,34.7,9.93,33.3,9.0,5.0,22.5,33.3,SASUKE.PNG,5.0,2.0,6.5,6.0,7.5,6.5,7.0,6.0,"Possesses the Perfect Susano'o (a mountain-sized chakra avatar). His Mangekyo casts Amaterasu (inextinguishable black flames), while his Rinnegan allows Amenotejikara (instantaneous spatial swapping of himself, others, or attacks within a set range)."
Kaguya Otsutsuki,Truth Seeker Orbs,Naruto,51.38,51.38,10.93,33.3,6.0,5.0,22.5,33.3,KAGUYA.PNG,8.5,7.0,6.5,8.0,9.0,7.0,8.0,8.0,"Can instantly shift environments/dimensions via Amenominaka. The Expansive Truth-Seeker Orb can erase a dimension, and All-Killing Ash Bones disintegrate targets on contact (durability negation). Loses only to instantaneous sealing or dimensional BFR."
Kakashi Hatake,DMS (Dual Mangekyo Sharingan),Naruto,31.33,33.3,9.93,33.3,9.0,5.0,19.5,33.3,KAKASHI.PNG,3.5,1.0,4.0,7.5,7.0,2.0,5.5,5.0,Dual Mangekyo Sharingan grants temporary perfect Kamui: passive intangibility (phasing through all matter/energy) and the ability to warp targets away via Kamui Shuriken/Lightning Blade (spatial durability negation). Limited by a strict chakra time limit.
Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),Naruto,34.7,33.3,9.93,33.3,8.0,5.0,22.5,33.3,MADARA.PNG,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,"Juubi Jinchuriki wielding Truth-Seeker Orbs (which disintegrate matter on contact), Limbo clones (invisible, intangible shadows existing in a parallel dimension), and immense regeneration. Susceptible to senjutsu, space-time hax, or soul erasure."
Might Guy,Eight Gates,Naruto,33.3,32.4,8.93,32.4,8.0,5.0,19.5,32.4,MIGHTGUY.PNG,2.0,1.0,9.0,3.0,1.0,1.0,5.5,3.0,"The Eighth Gate of Death removes all bodily limiters. His ultimate attack, Night Guy, warps the physical space around the target due to sheer mass and velocity, preventing standard evasion. It is a one-time, completely fatal burst."
Obito Uchiha,Jubi Jinchuriki,Naruto,31.33,31.33,9.43,31.33,9.0,5.0,22.5,27.18,OBITO.PNG,6.5,1.5,7.0,8.0,8.0,5.0,7.0,6.5,"As the Juubi Jinchuriki, he possesses Truth-Seeker Orbs and extreme regeneration, but he CANNOT use Kamui intangibility (the Juubi's mass prevents him from phasing). Still highly resistant to all ninjutsu except natural energy (senjutsu)."
Itachi Uchiha,Edo Tensei,Naruto,24.12,23.04,8.93,23.04,10.0,5.0,13.5,23.04,ITACHI.PNG,5.5,7.0,5.0,5.5,4.5,9.0,6.0,6.5,Edo Tensei grants infinite chakra and regeneration. Susano'o wields the Totsuka Blade (seals anything it pierces into a genjutsu realm forever) and the Yata Mirror (alters its attributes to negate any elemental/physical attack). Tsukuyomi alters perception of time.
Hashirama Senju,Sage Mode / War Arc,Naruto,29.59,27.18,8.93,27.18,8.0,100.0,19.5,27.18,HASHIRAMA.PNG,4.0,7.5,6.0,3.5,1.0,3.5,7.0,5.0,"Wood Release allows the creation of a massive 1000-armed Buddha construct that dwarfs mountains. Sage mode grants immense stamina and passive, seal-less cellular regeneration. Vulnerable to hax that directly ignores physical HP/barriers."
Minato Namikaze,Edo Tensei,Naruto,27.18,27.18,8.93,27.18,10.0,100.0,16.5,27.18,MINATO.PNG,3.5,2.0,5.5,9.5,7.0,2.0,5.5,4.0,"Flying Raijin allows instantaneous, FTL teleportation to any pre-marked seal, making him virtually impossible to hit conventionally. Wields half of Kurama (Edo form) for massive chakra/AP. Loses only if the opponent's AoE is larger than his tag network."
Izuku Midoriya,Fa Jin / Gearshift / Full cowl,My Hero Academia,27.18,27.18,9.43,25.77,8.0,5.0,16.5,27.18,IZUKU.PNG,2.5,1.5,7.5,5.5,2.0,1.0,5.5,3.0,"One For All 100% combined with Gearshift (allows him to alter the velocity/inertia of himself or his target, ignoring the laws of physics) and Fa Jin (stored kinetic energy for burst speed). Fragile against durability negation or psychic/soul attacks."
Katsuki Bakugo,Cluster / Plus Ultra,My Hero Academia,23.04,24.12,8.93,23.04,8.0,5.0,5.35,12.12,BAKUGO.PNG,2.0,1.0,5.5,4.5,1.0,1.0,4.0,2.0,"Sweat-ignited explosions culminating in the Cluster technique, where explosions detonate simultaneously across his body for extreme burst speed and AP. High mobility but standard human durability; loses to foes who can tank his highest output."
Shoto Todoroki,Flashfreeze Heatwave,My Hero Academia,23.04,24.12,8.33,23.04,8.0,5.0,16.5,23.04,TODOROKI.PNG,2.5,1.0,4.5,2.5,1.0,1.0,4.0,2.0,"Phosphor technique harmonizes his two halves to create cold fire, allowing massive AoE temperature control without exhausting his body. No innate hax defense; vulnerable to speedblitzes before he can activate his fields."
All For One,Rewind Drug / Omni-Factor,My Hero Academia,24.12,24.12,8.48,23.04,9.0,5.0,16.5,24.12,ALLFORONE.PNG,5.0,7.0,8.5,5.0,2.0,4.0,6.5,6.0,"Possesses dozens of stacked Quirks (impact recoil, air cannons, hyper-regeneration). In his Rewind state, he reverts to his physical prime and recovers from any damage, but will eventually rewind into non-existence. Can steal powers upon physical contact."
Tomura Shigaraki,Post-Surgery / Complete,My Hero Academia,25.77,25.77,8.48,25.77,9.0,5.0,16.5,24.12,SHIGARAKI.PNG,8.5,6.0,6.5,4.0,1.0,2.0,7.0,5.5,"Decay disintegrates whatever he touches, and the effect aggressively spreads through the air/ground to destroy entire cities instantly (absolute durability negation). Possesses AFO's quirks and hyper-regeneration. Vulnerable to flight/range or true intangibility."
Star and Stripe,New Order Active,My Hero Academia,24.12,24.12,8.33,24.12,8.0,5.0,16.5,24.12,STARANDSTRIPE.PNG,7.5,1.0,8.5,5.5,3.5,4.0,6.0,4.5,"New Order allows her to dictate two rules on anything she names and touches. She can remove the atmosphere or command a target's heart to stop. However, she cannot exceed absolute physical limits or affect a target if she doesn't know their true identity."
All Might,Prime,My Hero Academia,27.18,24.89,8.93,24.89,8.0,5.0,16.5,24.89,ALLMIGHT.PNG,1.5,1.5,4.0,2.0,1.0,1.0,5.5,2.0,"Prime All Might possesses purely physical superhuman strength and speed, generating localized weather-changing wind pressure via punches. He has no hax abilities or magical defenses, making him vulnerable to durability negation or dimensional manipulation."
Goku,MUI (Perfected Ultra Instinct),Dragon Ball Universe,97.0,96.5,11.48,96.5,6.0,5.0,10.5,96.5,GOKU.PNG,5.0,2.0,9.5,9.5,2.0,1.0,9.5,8.0,"Mastered Ultra Instinct allows his body to fight and evade autonomously without thought. Can project a massive, Susano'o-like ki avatar for overwhelming physical AP. Vulnerable to absolute reality warping or hax that ignores physical evasion."
Vegeta,Ultra Ego / Granolah Arc Peak,Dragon Ball Universe,97.0,96.5,11.48,96.5,7.0,5.0,10.5,96.5,VEGETA.PNG,5.0,2.5,9.5,8.0,5.5,2.5,9.0,8.0,"Ultra Ego forces him to draw power from his fighting spirit, making him physically stronger the more damage he sustains. Wields Hakai, an energy that erases matter and souls from existence. Can be defeated if one-shot before his power scales."
Gohan,Beast Form / Super Hero Arc,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,GOHAN.PNG,5.0,1.5,9.0,7.5,1.5,1.0,9.0,6.5,"Beast Form grants extreme, instantaneous burst AP and speed, allowing him to overpower top-tier divine threats. A purely straightforward brawler with immense ki output but minimal hax defense against conceptual or soul-based attacks."
Piccolo,Orange Form / Super Hero Arc,Dragon Ball Universe,97.0,96.5,11.48,96.5,9.0,5.0,13.5,96.5,PICCOLO.PNG,4.0,7.5,8.0,6.5,2.0,2.5,8.5,6.5,"Orange Piccolo grants giant-form strength and Namekian cellular regeneration (can survive as long as his core anatomy remains). Special Beam Cannon drills through targets, piercing higher durability. Vulnerable to full vaporization or soul erasure."
Krillin,Super Hero Arc / Destructo Disc,Dragon Ball Universe,97.0,96.5,11.48,96.0,8.0,5.0,13.5,96.0,KRILLIN.PNG,4.0,1.0,3.0,2.5,1.0,1.0,5.0,3.5,The Destructo Disc focuses ki into a razor-thin edge that can cut through opponents with vastly superior durability. Employs the Solar Flare to blind opponents. Retains standard human durability; loses instantly in close-quarters combat.
Future Trunks,Sword of Hope / Zamasu Fight,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,TRUNKS.PNG,5.0,1.5,9.0,6.0,4.0,1.0,8.5,7.0,"Super Saiyan Rage grants godly stat scaling. The Sword of Hope gathers ambient energy from all living things into a massive, durability-negating blade capable of destroying immortal/fused entities. Vulnerable to speedblitzes before the energy gathers."
Frieza,Black Frieza Form,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,FRIEZA.PNG,4.0,7.0,9.5,6.5,2.0,1.5,9.5,7.0,"Black Frieza possesses enough raw AP to instantly one-shot Mastered Ultra Instinct and Ultra Ego simultaneously. Can survive in the vacuum of space and endure being physically bisected. Vulnerable only to conceptual hax, sealing, or absolute erasure."
Cell,Perfect Form,Dragon Ball Universe,51.38,43.98,11.48,43.98,9.0,5.0,10.5,43.98,CELL.PNG,4.5,8.5,7.5,5.5,1.0,1.5,7.5,6.0,"Perfect Cell can regenerate completely as long as a single core cell in his head survives. Possesses the genetic data and techniques of Goku, Vegeta, Piccolo, and Frieza. Can self-destruct with enough power to wipe out a solar system."
Asta,Perfect Devil Union / Zetten,Black Clover,31.33,31.33,11.48,31.33,9.0,5.0,22.5,31.33,ASTA.PNG,8.5,5.0,8.5,7.0,2.0,2.5,8.0,9.5,"Wields Anti-Magic swords that passively nullify, sever, and reflect any supernatural energy, magic, or hax upon contact (acting as durability negation against magical defenses). Devil Union grants FTL speed but he is vulnerable to purely physical, non-magical blunt force."
Yuno,Spirit of Zephyr / Spirit Dive,Black Clover,29.68,30.26,11.48,30.26,9.0,5.0,22.5,30.26,YUNO.PNG,4.5,2.0,7.0,7.5,4.0,1.5,5.5,5.5,"Spirit Dive with Sylph grants FTL flight and evasive wind mobility. Spirit of Zephyr condenses atmospheric magic to erode target defenses, while Star Magic allows instantaneous teleportation between designated points. A glass cannon vulnerable to anti-magic."
Noelle Silva,Saint Valkyrie / Spirit Dive,Black Clover,29.59,29.59,8.83,27.18,8.0,5.0,7.5,29.59,NOELLE.PNG,4.5,2.5,7.0,5.5,1.0,1.5,7.5,6.0,"Saint Valkyrie armor purifies malice and grants 3D mobility through the air. Sea Dragon's Roar delivers massive blunt-force water damage. Vulnerable to extreme heat/evaporation, durability negation, or superior physical speed."
Yami Sukehiro,Death Thrust / Final War,Black Clover,27.18,27.18,8.93,27.18,7.0,5.0,22.5,27.18,YAMI.PNG,7.0,1.5,6.5,6.5,5.0,1.0,6.0,6.0,"Dark Magic is slow but can interact with abstract concepts. Dimension Slash and Death Thrust literally sever the fabric of space itself, completely ignoring the physical durability of the target. Ki sensing prevents blind-spot attacks. Vulnerable to overwhelming range."
Julius Novachrono,Wizard King Peak,Black Clover,19.94,19.94,8.33,19.94,9.0,5.0,7.5,19.94,JULIUS.PNG,6.0,7.0,5.5,8.0,9.5,2.5,6.0,7.0,"Time Magic allows him to steal time from targets to age them instantly, trap them in stasis spheres, or use stored time to heal fatal wounds (rewind). Requires casting time and relies heavily on his stored reserves; vulnerable to instantaneous blitzes."
Lucifero,True Form,Black Clover,27.18,27.18,8.93,27.18,8.0,5.0,22.5,27.18,LUCIFERO.PNG,7.0,3.5,7.0,5.5,5.5,4.0,8.0,7.5,"Manifests the concept of Gravity. His presence passively crushes everything in the vicinity flat to the ground, disrupting magic and physical movement alike. Can warp space to teleport. Vulnerable to dimensional severing or foes completely immune to gravity."
Gon Freecss,Ryu and Ko,Hunter x Hunter,13.0,12.12,3.37,12.12,8.0,5.0,4.55,13.0,GON.PNG,1.5,1.0,3.5,1.5,1.0,1.0,2.5,1.5,"Utilizes Jajanken (Rock, Paper, Scissors) to focus aura into massive physical strikes or mid-range projectiles. A purely physical combatant reliant on Nen basics with no hax defenses, making him highly susceptible to ranged or conceptual abilities."
Adult Gon,Adult Form,Hunter x Hunter,17.02,17.02,4.87,16.02,8.0,5.0,7.5,17.02,ADULTGON.PNG,4.0,1.0,9.5,4.5,1.0,1.0,6.5,3.0,"Forced a Vow to consume all of his future Nen potential, granting him temporary strength and speed capable of decimating Royal Guard Neferpitou. It is a one-time burst that leaves his body entirely destroyed and comatose afterward."
Killua Zoldyck,Godspeed,Hunter x Hunter,13.0,13.0,5.51,13.0,8.0,5.0,4.85,13.0,KILLUA.PNG,3.5,1.0,5.5,7.0,1.0,2.0,3.5,4.0,"Godspeed (Kanmuru) bypasses his nervous system, programming his aura to react automatically to malice or movement with lightning speed. Highly evasive with lethal physical assassination techniques, but his electrical aura drains rapidly."
Kurapika,Yorknew City Arc / Emperor Time,Hunter x Hunter,12.12,12.12,3.37,12.12,9.0,5.0,4.85,12.12,KURAPIKA.PNG,6.5,1.0,6.5,2.5,1.0,6.0,3.0,3.0,"Emperor Time grants 100% Nen efficiency against ANY opponent at the cost of his lifespan. Judgment Chain wraps around the heart to enforce a lethal rule. (Chain Jail, the unbreakable bind, is strictly limited to the Phantom Troupe). Vulnerable to stamina drain."
Hisoka Morow,Ryu and Ko,Hunter x Hunter,13.0,13.0,3.67,13.0,9.0,5.0,5.35,13.0,HISOKA.PNG,2.0,3.5,3.0,4.5,1.0,1.5,3.0,2.0,"Bungee Gum possesses the properties of both rubber and gum, used to tether opponents, return projectiles, or physically bind limbs. Texture Surprise alters appearances. Relies entirely on battle IQ and physical traps; lacks high-tier AP or hax."
Feitan Portor,Pain Packer,Hunter x Hunter,13.0,13.89,3.37,13.89,7.0,5.0,4.55,13.0,FEITAN.PNG,5.0,1.0,6.0,3.0,1.0,1.0,5.5,3.5,"Pain Packer transmutes the physical damage he has received into a miniature, scorching sun (Rising Sun) that incinerates a wide area. He must survive the initial damage to cast it, making him vulnerable to instantaneous one-shots or decapitation."
Chrollo Lucilfer,Skill Hunter Peak,Hunter x Hunter,13.0,13.0,3.67,13.0,9.0,5.0,4.55,13.0,CHROLLO.PNG,4.5,1.0,6.0,5.0,1.5,4.0,3.0,3.0,"Skill Hunter allows him to steal and combine other Nen abilities (teleportation, explosive puppets) from a conjured book. He must fulfill strict conditions to steal a power and needs preparation time to assemble lethal combinations. Vulnerable to immediate rushdowns."
Meruem,Post-Rose / Great King,Hunter x Hunter,18.12,18.62,4.87,18.62,10.0,5.0,7.5,18.62,MERUEM.PNG,6.0,8.0,7.5,4.0,1.0,3.5,8.0,6.5,"Post-Rose form possesses unparalleled physical strength and speed, flight, and Photon (turns his aura into microscopic light particles that read the intent and location of anyone they touch). Extremely durable but died to cellular-level radiation/poison."
Isaac Netero,Zero Hand Active,Hunter x Hunter,17.02,17.02,4.87,13.0,9.0,5.0,7.5,15.12,NETERO.PNG,5.0,1.0,7.0,2.5,1.0,2.0,4.5,3.5,"The 100-Type Guanyin Bodhisattva delivers physical strikes at sub-millisecond speeds (faster than sound/thought). Zero Hand expends all his aura in a single beam. If his heart stops, the Poor Man's Rose (a miniature nuclear/poison bomb) detonates instantly."
Meliodas,True Magic Form,Seven Deadly Sins,57.8,57.8,9.43,57.8,9.0,5.0,19.5,57.8,MELIODAS.PNG,8.0,8.5,9.5,7.0,6.0,6.5,8.0,8.0,"Full Counter reflects any magical/energy attack back at the user with more than double the power. True Magic form destroys curses. Vulnerable to purely physical strikes, environmental hazards, or non-attack conceptual hax that cannot be 'reflected'."
Escanor,The One Ultimate,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,5.0,19.5,57.8,ESCANOR.PNG,5.0,2.5,9.5,4.0,1.0,1.5,8.5,7.0,"His power, Sunshine, peaks precisely at noon (The One), granting him physical stats that overpower gods, alongside heat that melts stone passively. He is strictly bound by the time of day; his power plummets as the sun sets, making him useless at night."
Merlin,Infinity Active,Seven Deadly Sins,57.8,57.8,8.93,57.8,10.0,5.0,19.5,57.8,MERLIN.PNG,7.0,2.5,7.5,7.0,7.5,6.0,6.0,8.0,"Infinity allows her to freeze the time of her spells, making barriers, flames, or ice last forever without consuming extra mana. Absolute Cancel disrupts enemy magic. Physically human; vulnerable to being speedblitzed before she can cast a spell."
Ban,Post-Purgatory with Snatch,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,100.0,20.0,57.8,BAN.PNG,4.0,8.5,7.5,4.5,1.0,1.5,8.0,6.5,"Snatch forcibly rips physical strength or internal organs from a target at range. Post-Purgatory Ban sacrificed his immortality to revive Elaine; he no longer regenerates. However, his mortal body possesses extreme durability and pain tolerance from millennia in Purgatory."
King,Full Wings / Form One,Seven Deadly Sins,57.8,57.8,8.93,57.8,9.0,5.0,16.5,57.8,KING.PNG,7.0,2.5,7.0,7.5,2.0,2.0,6.5,6.0,"Wields the True Spirit Spear Chastiefol, utilizing multiple forms simultaneously (massive guardian constructs, thousands of homing blades, petrifying pollen, and sunflower beams) from a distance. Physically frail without the spear's protection."
Diane,Post-Training / Gideon,Seven Deadly Sins,51.38,51.38,8.93,57.8,8.0,5.0,16.5,51.38,DIANE.PNG,2.5,2.0,4.0,2.0,1.0,1.0,5.5,3.0,"Giant clan warrior with immense physical strength and Creation magic, allowing her to manipulate the earth, create massive golems, and turn her body into heavy metal for defense. Lacks speed and defensive hax against conceptual attacks."
Gowther,Emotions Restored,Seven Deadly Sins,51.38,51.38,7.85,51.38,9.0,100.0,16.5,51.38,GOWTHER.PNG,4.0,2.0,3.5,2.5,1.0,9.5,5.0,6.0,"A magical doll entirely immune to physical pain or conventional death. His magic, Invasion, operates on the mind—rewriting memories, casting illusions, or forcing nervous systems to shut down. Vulnerable to opponents with total mind-control immunity."
Estarossa,Post-Commandment Absorption,Seven Deadly Sins,51.38,51.38,7.85,51.38,7.0,5.0,16.5,51.38,ESTAROSSA.PNG,6.5,7.0,8.0,5.0,2.0,7.0,7.5,7.5,"Wields the Love commandment, completely paralyzing anyone who feels hatred or killing intent toward him. Uses Full Counter to reflect physical attacks at double power (the inverse of Meliodas). Vulnerable to emotionless beings or magical barrages."
Zeldris,3rd Demon Mark,Seven Deadly Sins,57.8,57.8,9.43,57.8,9.0,5.0,16.5,57.8,ZELDRIS.PNG,6.5,6.5,7.5,6.5,2.0,7.5,7.5,7.5,The Piety commandment forces anyone who turns their back on him into absolute submission. Ominous Nebula creates a gravitational vortex of darkness that pulls targets in and slashes them at imperceptible speeds. Vulnerable to extreme AP that breaks the vortex.
Chaos,Primordial Entity,Seven Deadly Sins,96.0,95.45,9.93,95.45,10.0,100.0,100.0,95.45,CHAOS.PNG,9.0,9.5,9.0,8.0,9.0,8.0,9.5,9.0,"The primordial creator entity. Possesses the ability to warp reality on a planetary scale, manipulate life and death, and alter the fabric of space. It requires an equally abstract, cosmic-level entity or absolute conceptual erasure to defeat."
Supreme Deity,Full Power,Seven Deadly Sins,51.38,51.38,8.93,57.8,9.0,5.0,19.5,51.38,SUPREMEDEITY.PNG,7.0,7.0,7.0,6.0,6.0,7.5,8.0,8.0,"The creator of the Goddess Clan. Possesses complete immunity to dark magic and physical curses, capable of dropping massive barrages of divine light and manipulating weather/energy. Cannot be defeated by standard demon magic."
Thragg,Post-Timeskip (Comics),Invincible,36.02,31.33,11.48,31.33,8.0,5.0,22.5,31.33,THRAGG.PNG,2.5,5.0,2.5,4.0,1.0,1.0,8.5,3.5,"A Viltrumite warlord with millennia of combat experience. Possesses massively FTL travel speed, the strength to rip through planetary cores, and extreme durability. Entirely physical combatant with zero defensive hax against soul, magical, or reality-warping attacks."
Battle Beast,Final Battle Peak (Comics),Invincible,36.02,31.33,11.48,31.33,6.0,5.0,22.5,31.33,BATTLEBEAST.PNG,2.5,4.0,2.5,2.5,1.0,1.0,8.5,3.5,"A physical powerhouse whose strength, savagery, and durability allowed him to fight Thragg for days straight in the vacuum of space, even with his own organs ruptured. Strictly a melee brawler; vulnerable to dimensional removal or hax he cannot punch."
Omni-Man,Final Battle Peak (Comics),Invincible,31.33,31.33,11.48,31.33,8.0,5.0,22.5,31.33,OMNIMAN.PNG,2.5,4.5,2.0,4.5,1.0,1.0,7.5,3.0,"Viltrumite genetics grant continent-cracking strength, FTL flight, and the ability to hold his breath in space for weeks. Fights purely with physical blunt force and speed. Susceptible to telepathy, magic, molecular manipulation, or durability-negating hax."
Allen the Alien,Second Evolution (Comics),Invincible,32.9,32.9,11.48,32.9,8.0,5.0,22.5,32.9,ALLENTHEALIEN.PNG,2.0,8.0,5.0,3.5,1.0,1.0,8.0,3.0,"An Unopan whose genetics force his body to adapt and grow exponentially stronger every time he survives a near-death experience, eventually rivaling top Viltrumites. Has limited telepathy but relies primarily on physical brawling."
Invincible,Post-Resurrections (Comics),Invincible,36.02,32.9,11.48,32.9,8.0,5.0,23.0,32.9,INVINCIBLE.PNG,2.5,4.5,2.5,3.5,1.0,1.0,7.0,2.5,"End-of-series Mark Grayson is the strongest Viltrumite, surpassing Omni-Man and Thragg in raw strength and speed. He possesses no ranged attacks or supernatural hax, making him vulnerable to reality-warpers, magic, or soul manipulation."
Atom Eve,Second Resurrection (Comics),Invincible,31.33,31.33,5.51,31.33,9.0,3.0,22.5,2.25,ATOMEVE.PNG,9.0,9.5,8.5,7.0,1.5,1.5,9.0,7.5,"Possesses the ability to completely rewrite the molecular structure of inorganic matter (turning air to shields, metal to glass). Mental blocks prevent her from altering living biology, unless her life is in immediate danger, at which point she can resurrect herself."
Thor,Rune King Thor (Comics),Marvel,99.25,99.25,100.0,99.25,8.0,5.0,100.0,99.25,RUNEKINGTHOR.PNG,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.5,"Rune King Thor is merged with the Odinforce and the magic of the Runes. He is virtually omniscient, can manipulate reality on a universal scale, freeze time, and erase cosmic entities from existence. Cannot be defeated by purely physical force."
Hulk,Devil Hulk (Comics),Marvel,94.5,94.5,11.48,94.5,10.0,5.0,100.0,94.5,DEVILHULK.PNG,4.0,9.0,8.5,2.5,1.5,4.0,9.5,8.0,"The Devil Hulk/Immortal Hulk persona grants strength that scales infinitely with rage and an extreme healing factor. He cannot permanently die, as his soul returns through the 'Green Door'. Vulnerable to reality manipulation or extreme magical sealing."
Homelander,V1 (Comics),The Boys,8.17,11.14,3.07,11.14,7.0,5.0,5.35,11.14,HOMELANDER.PNG,1.5,2.5,1.0,3.0,1.0,1.0,5.0,2.0,"The comic version possesses standard flying-brick powers (flight, heat vision, super strength) but is physically weaker than the television adaptation. He can be killed by extreme blunt force (equivalent to heavy military ordnance) and possesses absolutely zero hax."
