a_name,a_form,a_anime,a_tier,a_attack,a_speed,a_durability,a_intelligence,a_stamina,a_lifting_strength,a_striking_strength,a_durability_negation,a_regeneration,a_power_amplification,a_mobility_hax,a_time_space_manip,a_mind_soul_hax,a_resistance_physical,a_resistance_hax,b_name,b_form,b_anime,b_tier,b_attack,b_speed,b_durability,b_intelligence,b_stamina,b_lifting_strength,b_striking_strength,b_durability_negation,b_regeneration,b_power_amplification,b_mobility_hax,b_time_space_manip,b_mind_soul_hax,b_resistance_physical,b_resistance_hax,winner
Cell,Perfect Form,Dragon Ball Universe,51.38,43.98,11.48,43.98,9.0,5.0,10.5,43.98,4.5,8.5,7.5,5.5,1.0,1.5,7.5,6.0,Meliodas,True Magic Form,Seven Deadly Sins,57.8,57.8,9.43,57.8,9.0,5.0,19.5,57.8,8.0,8.5,9.5,7.0,6.0,6.5,8.0,8.0,
Frieza,Black Frieza Form,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,4.0,7.0,9.5,6.5,2.0,1.5,9.5,7.0,Zeldris,3rd Demon Mark,Seven Deadly Sins,57.8,57.8,9.43,57.8,9.0,5.0,16.5,57.8,6.5,6.5,7.5,6.5,2.0,7.5,7.5,7.5,
Yami Sukehiro,Death Thrust / Final War,Black Clover,27.18,27.18,8.93,27.18,7.0,5.0,22.5,27.18,7.0,1.5,6.5,6.5,5.0,1.0,6.0,6.0,Chaos,Primordial Entity,Seven Deadly Sins,96.0,95.45,9.93,95.45,10.0,100.0,100.0,95.45,9.0,9.5,9.0,8.0,9.0,8.0,9.5,9.0,
Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5,Meliodas,True Magic Form,Seven Deadly Sins,57.8,57.8,9.43,57.8,9.0,5.0,19.5,57.8,8.0,8.5,9.5,7.0,6.0,6.5,8.0,8.0,
Minato Namikaze,Edo Tensei,Naruto,27.18,27.18,8.93,27.18,10.0,100.0,16.5,27.18,3.5,2.0,5.5,9.5,7.0,2.0,5.5,4.0,Katsuki Bakugo,Cluster / Plus Ultra,My Hero Academia,23.04,24.12,8.93,23.04,8.0,5.0,5.35,12.12,2.0,1.0,5.5,4.5,1.0,1.0,4.0,2.0,
Diane,Post-Training / Gideon,Seven Deadly Sins,51.38,51.38,8.93,57.8,8.0,5.0,16.5,51.38,2.5,2.0,4.0,2.0,1.0,1.0,5.5,3.0,Estarossa,Post-Commandment Absorption,Seven Deadly Sins,51.38,51.38,7.85,51.38,7.0,5.0,16.5,51.38,6.5,7.0,8.0,5.0,2.0,7.0,7.5,7.5,
Yuji Itadori,Complete Sukuna Gauntlet Peak,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,16.119999999999997,5.5,2.5,5.0,4.0,1.0,6.5,5.5,5.0,Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5,
Cell,Perfect Form,Dragon Ball Universe,51.38,43.98,11.48,43.98,9.0,5.0,10.5,43.98,4.5,8.5,7.5,5.5,1.0,1.5,7.5,6.0,Yami Sukehiro,Death Thrust / Final War,Black Clover,27.18,27.18,8.93,27.18,7.0,5.0,22.5,27.18,7.0,1.5,6.5,6.5,5.0,1.0,6.0,6.0,
Cell,Perfect Form,Dragon Ball Universe,51.38,43.98,11.48,43.98,9.0,5.0,10.5,43.98,4.5,8.5,7.5,5.5,1.0,1.5,7.5,6.0,Battle Beast,Final Battle Peak (Comics),Invincible,36.02,31.33,11.48,31.33,6.0,5.0,22.5,31.33,2.5,4.0,2.5,2.5,1.0,1.0,8.5,3.5,
Megumi Fushiguro,Mahoraga,Jujutsu Kaisen,15.12,15.12,1.87,15.12,7.0,4.0,7.5,16.119999999999997,5.5,2.0,7.0,4.5,1.0,1.0,5.0,5.5,All For One,Rewind Drug / Omni-Factor,My Hero Academia,24.12,24.12,8.48,23.04,9.0,5.0,16.5,24.12,5.0,7.0,8.5,5.0,2.0,4.0,6.5,6.0,
Mahito,True form,Jujutsu Kaisen,12.12,12.12,1.87,12.12,9.0,5.0,3.35,12.12,8.0,6.5,5.0,4.0,1.0,9.0,5.5,5.0,Feitan Portor,Pain Packer,Hunter x Hunter,13.0,13.89,3.37,13.89,7.0,5.0,4.55,13.0,5.0,1.0,6.0,3.0,1.0,1.0,5.5,3.5,
Obito Uchiha,Jubi Jinchuriki,Naruto,31.33,31.33,9.43,31.33,9.0,5.0,22.5,27.18,6.5,1.5,7.0,8.0,8.0,5.0,7.0,6.5,Minato Namikaze,Edo Tensei,Naruto,27.18,27.18,8.93,27.18,10.0,100.0,16.5,27.18,3.5,2.0,5.5,9.5,7.0,2.0,5.5,4.0,
Megumi Fushiguro,Mahoraga,Jujutsu Kaisen,15.12,15.12,1.87,15.12,7.0,4.0,7.5,16.119999999999997,5.5,2.0,7.0,4.5,1.0,1.0,5.0,5.5,Homelander,V1 (Comics),The Boys,8.17,11.14,3.07,11.14,7.0,5.0,5.35,11.14,1.5,2.5,1.0,3.0,1.0,1.0,5.0,2.0,
Kaguya Otsutsuki,Truth Seeker Orbs,Naruto,51.38,51.38,10.93,33.3,6.0,5.0,22.5,33.3,8.5,7.0,6.5,8.0,9.0,7.0,8.0,8.0,Krillin,Super Hero Arc / Destructo Disc,Dragon Ball Universe,97.0,96.5,11.48,96.0,8.0,5.0,13.5,96.0,4.0,1.0,3.0,2.5,1.0,1.0,5.0,3.5,
All For One,Rewind Drug / Omni-Factor,My Hero Academia,24.12,24.12,8.48,23.04,9.0,5.0,16.5,24.12,5.0,7.0,8.5,5.0,2.0,4.0,6.5,6.0,Gowther,Emotions Restored,Seven Deadly Sins,51.38,51.38,7.85,51.38,9.0,100.0,16.5,51.38,4.0,2.0,3.5,2.5,1.0,9.5,5.0,6.0,
Future Trunks,Sword of Hope / Zamasu Fight,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,5.0,1.5,9.0,6.0,4.0,1.0,8.5,7.0,Kurapika,Yorknew City Arc / Emperor Time,Hunter x Hunter,12.12,12.12,3.37,12.12,9.0,5.0,4.85,12.12,6.5,1.0,6.5,2.5,1.0,6.0,3.0,3.0,
Hashirama Senju,Sage Mode / War Arc,Naruto,29.59,27.18,8.93,27.18,8.0,100.0,19.5,27.18,4.0,7.5,6.0,3.5,1.0,3.5,7.0,5.0,Tomura Shigaraki,Post-Surgery / Complete,My Hero Academia,25.77,25.77,8.48,25.77,9.0,5.0,16.5,24.12,8.5,6.0,6.5,4.0,1.0,2.0,7.0,5.5,
Krillin,Super Hero Arc / Destructo Disc,Dragon Ball Universe,97.0,96.5,11.48,96.0,8.0,5.0,13.5,96.0,4.0,1.0,3.0,2.5,1.0,1.0,5.0,3.5,Gowther,Emotions Restored,Seven Deadly Sins,51.38,51.38,7.85,51.38,9.0,100.0,16.5,51.38,4.0,2.0,3.5,2.5,1.0,9.5,5.0,6.0,
Nanami Kento,Shibuya Incident Peak,Jujutsu Kaisen,12.12,11.62,1.87,11.62,8.0,5.0,3.35,11.14,4.5,1.0,3.0,2.0,1.0,1.0,3.0,2.5,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),Naruto,31.33,33.3,9.93,33.3,9.0,5.0,19.5,33.3,3.5,1.0,4.0,7.5,7.0,2.0,5.5,5.0,
Mahito,True form,Jujutsu Kaisen,12.12,12.12,1.87,12.12,9.0,5.0,3.35,12.12,8.0,6.5,5.0,4.0,1.0,9.0,5.5,5.0,Julius Novachrono,Wizard King Peak,Black Clover,19.94,19.94,8.33,19.94,9.0,5.0,7.5,19.94,6.0,7.0,5.5,8.0,9.5,2.5,6.0,7.0,
Yuji Itadori,Complete Sukuna Gauntlet Peak,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,16.119999999999997,5.5,2.5,5.0,4.0,1.0,6.5,5.5,5.0,Lucifero,True Form,Black Clover,27.18,27.18,8.93,27.18,8.0,5.0,22.5,27.18,7.0,3.5,7.0,5.5,5.5,4.0,8.0,7.5,
Isaac Netero,Zero Hand Active,Hunter x Hunter,17.02,17.02,4.87,13.0,9.0,5.0,7.5,15.12,5.0,1.0,7.0,2.5,1.0,2.0,4.5,3.5,Escanor,The One Ultimate,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,5.0,19.5,57.8,5.0,2.5,9.5,4.0,1.0,1.5,8.5,7.0,
Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5,Hisoka Morow,Ryu and Ko,Hunter x Hunter,13.0,13.0,3.67,13.0,9.0,5.0,5.35,13.0,2.0,3.5,3.0,4.5,1.0,1.5,3.0,2.0,
Itachi Uchiha,Edo Tensei,Naruto,24.12,23.04,8.93,23.04,10.0,5.0,13.5,23.04,5.5,7.0,5.0,5.5,4.5,9.0,6.0,6.5,Gowther,Emotions Restored,Seven Deadly Sins,51.38,51.38,7.85,51.38,9.0,100.0,16.5,51.38,4.0,2.0,3.5,2.5,1.0,9.5,5.0,6.0,
Piccolo,Orange Form / Super Hero Arc,Dragon Ball Universe,97.0,96.5,11.48,96.5,9.0,5.0,13.5,96.5,4.0,7.5,8.0,6.5,2.0,2.5,8.5,6.5,Battle Beast,Final Battle Peak (Comics),Invincible,36.02,31.33,11.48,31.33,6.0,5.0,22.5,31.33,2.5,4.0,2.5,2.5,1.0,1.0,8.5,3.5,
Sasuke Uchiha,New Era / Susano'o,Naruto,34.7,34.7,9.93,33.3,9.0,5.0,22.5,33.3,5.0,2.0,6.5,6.0,7.5,6.5,7.0,6.0,Killua Zoldyck,Godspeed,Hunter x Hunter,13.0,13.0,5.51,13.0,8.0,5.0,4.85,13.0,3.5,1.0,5.5,7.0,1.0,2.0,3.5,4.0,
Ban,Post-Purgatory with Snatch,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,100.0,20.0,57.8,4.0,8.5,7.5,4.5,1.0,1.5,8.0,6.5,Omni-Man,Final Battle Peak (Comics),Invincible,31.33,31.33,11.48,31.33,8.0,5.0,22.5,31.33,2.5,4.5,2.0,4.5,1.0,1.0,7.5,3.0,
Lucifero,True Form,Black Clover,27.18,27.18,8.93,27.18,8.0,5.0,22.5,27.18,7.0,3.5,7.0,5.5,5.5,4.0,8.0,7.5,Atom Eve,Second Resurrection (Comics),Invincible,31.33,31.33,5.51,31.33,9.0,3.0,22.5,2.25,9.0,9.5,8.5,7.0,1.5,1.5,9.0,7.5,
All For One,Rewind Drug / Omni-Factor,My Hero Academia,24.12,24.12,8.48,23.04,9.0,5.0,16.5,24.12,5.0,7.0,8.5,5.0,2.0,4.0,6.5,6.0,Ban,Post-Purgatory with Snatch,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,100.0,20.0,57.8,4.0,8.5,7.5,4.5,1.0,1.5,8.0,6.5,
Sasuke Uchiha,New Era / Susano'o,Naruto,34.7,34.7,9.93,33.3,9.0,5.0,22.5,33.3,5.0,2.0,6.5,6.0,7.5,6.5,7.0,6.0,Estarossa,Post-Commandment Absorption,Seven Deadly Sins,51.38,51.38,7.85,51.38,7.0,5.0,16.5,51.38,6.5,7.0,8.0,5.0,2.0,7.0,7.5,7.5,
Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),Naruto,34.7,33.3,9.93,33.3,8.0,5.0,22.5,33.3,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,Ban,Post-Purgatory with Snatch,Seven Deadly Sins,57.8,57.8,9.43,57.8,8.0,100.0,20.0,57.8,4.0,8.5,7.5,4.5,1.0,1.5,8.0,6.5,
Supreme Deity,Full Power,Seven Deadly Sins,51.38,51.38,8.93,57.8,9.0,5.0,19.5,51.38,7.0,7.0,7.0,6.0,6.0,7.5,8.0,8.0,Invincible,Post-Resurrections (Comics),Invincible,36.02,32.9,11.48,32.9,8.0,5.0,23.0,32.9,2.5,4.5,2.5,3.5,1.0,1.0,7.0,2.5,
Itachi Uchiha,Edo Tensei,Naruto,24.12,23.04,8.93,23.04,10.0,5.0,13.5,23.04,5.5,7.0,5.0,5.5,4.5,9.0,6.0,6.5,Frieza,Black Frieza Form,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,4.0,7.0,9.5,6.5,2.0,1.5,9.5,7.0,
Naruto Uzumaki,Baryon Mode,Naruto,51.38,51.38,10.93,51.38,9.0,5.0,22.5,51.38,3.0,4.0,8.0,3.5,1.5,2.0,6.5,5.0,Chrollo Lucilfer,Skill Hunter Peak,Hunter x Hunter,13.0,13.0,3.67,13.0,9.0,5.0,4.55,13.0,4.5,1.0,6.0,5.0,1.5,4.0,3.0,3.0,
Satoru Gojo,Shinjuku Showdown Arc,Jujutsu Kaisen,17.02,15.12,3.07,15.12,9.0,5.0,7.5,15.12,7.0,1.0,2.0,6.5,6.0,7.5,8.0,7.0,Gohan,Beast Form / Super Hero Arc,Dragon Ball Universe,97.0,96.5,11.48,96.5,8.0,5.0,10.5,96.5,5.0,1.5,9.0,7.5,1.5,1.0,9.0,6.5,
Asta,Perfect Devil Union / Zetten,Black Clover,31.33,31.33,11.48,31.33,9.0,5.0,22.5,31.33,8.5,5.0,8.5,7.0,2.0,2.5,8.0,9.5,Killua Zoldyck,Godspeed,Hunter x Hunter,13.0,13.0,5.51,13.0,8.0,5.0,4.85,13.0,3.5,1.0,5.5,7.0,1.0,2.0,3.5,4.0,
Isaac Netero,Zero Hand Active,Hunter x Hunter,17.02,17.02,4.87,13.0,9.0,5.0,7.5,15.12,5.0,1.0,7.0,2.5,1.0,2.0,4.5,3.5,Thor,Rune King Thor (Comics),Marvel,99.25,99.25,100.0,99.25,8.0,5.0,100.0,99.25,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.5,
Lucifero,True Form,Black Clover,27.18,27.18,8.93,27.18,8.0,5.0,22.5,27.18,7.0,3.5,7.0,5.5,5.5,4.0,8.0,7.5,Thor,Rune King Thor (Comics),Marvel,99.25,99.25,100.0,99.25,8.0,5.0,100.0,99.25,9.5,9.0,9.5,9.0,9.5,9.0,9.5,9.5,
Yuno,Spirit of Zephyr / Spirit Dive,Black Clover,29.68,30.26,11.48,30.26,9.0,5.0,22.5,30.26,4.5,2.0,7.0,7.5,4.0,1.5,5.5,5.5,Omni-Man,Final Battle Peak (Comics),Invincible,31.33,31.33,11.48,31.33,8.0,5.0,22.5,31.33,2.5,4.5,2.0,4.5,1.0,1.0,7.5,3.0,
Toji Fushiguro,Peak Form,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,3.0,1.0,2.0,4.5,1.0,1.0,5.5,6.5,Diane,Post-Training / Gideon,Seven Deadly Sins,51.38,51.38,8.93,57.8,8.0,5.0,16.5,51.38,2.5,2.0,4.0,2.0,1.0,1.0,5.5,3.0,
Sasuke Uchiha,New Era / Susano'o,Naruto,34.7,34.7,9.93,33.3,9.0,5.0,22.5,33.3,5.0,2.0,6.5,6.0,7.5,6.5,7.0,6.0,Star and Stripe,New Order Active,My Hero Academia,24.12,24.12,8.33,24.12,8.0,5.0,16.5,24.12,7.5,1.0,8.5,5.5,3.5,4.0,6.0,4.5,
Krillin,Super Hero Arc / Destructo Disc,Dragon Ball Universe,97.0,96.5,11.48,96.0,8.0,5.0,13.5,96.0,4.0,1.0,3.0,2.5,1.0,1.0,5.0,3.5,Homelander,V1 (Comics),The Boys,8.17,11.14,3.07,11.14,7.0,5.0,5.35,11.14,1.5,2.5,1.0,3.0,1.0,1.0,5.0,2.0,
Kurapika,Yorknew City Arc / Emperor Time,Hunter x Hunter,12.12,12.12,3.37,12.12,9.0,5.0,4.85,12.12,6.5,1.0,6.5,2.5,1.0,6.0,3.0,3.0,Diane,Post-Training / Gideon,Seven Deadly Sins,51.38,51.38,8.93,57.8,8.0,5.0,16.5,51.38,2.5,2.0,4.0,2.0,1.0,1.0,5.5,3.0,
Yuno,Spirit of Zephyr / Spirit Dive,Black Clover,29.68,30.26,11.48,30.26,9.0,5.0,22.5,30.26,4.5,2.0,7.0,7.5,4.0,1.5,5.5,5.5,Battle Beast,Final Battle Peak (Comics),Invincible,36.02,31.33,11.48,31.33,6.0,5.0,22.5,31.33,2.5,4.0,2.5,2.5,1.0,1.0,8.5,3.5,
Geto Suguru,Curse Manipulation / Adult,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,5.0,2.0,6.5,4.5,2.0,6.0,4.5,4.5,Muzan,True Form,Demon Slayer,16.92,16.92,8.35,16.02,9.0,100.0,5.35,16.92,3.0,7.5,4.0,4.0,1.0,3.0,6.5,4.0,
Satoru Gojo,Shinjuku Showdown Arc,Jujutsu Kaisen,17.02,15.12,3.07,15.12,9.0,5.0,7.5,15.12,7.0,1.0,2.0,6.5,6.0,7.5,8.0,7.0,Estarossa,Post-Commandment Absorption,Seven Deadly Sins,51.38,51.38,7.85,51.38,7.0,5.0,16.5,51.38,6.5,7.0,8.0,5.0,2.0,7.0,7.5,7.5,
Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),Naruto,34.7,33.3,9.93,33.3,8.0,5.0,22.5,33.3,7.0,8.0,8.0,7.0,6.0,7.0,8.0,7.0,Piccolo,Orange Form / Super Hero Arc,Dragon Ball Universe,97.0,96.5,11.48,96.5,9.0,5.0,13.5,96.5,4.0,7.5,8.0,6.5,2.0,2.5,8.5,6.5,
Minato Namikaze,Edo Tensei,Naruto,27.18,27.18,8.93,27.18,10.0,100.0,16.5,27.18,3.5,2.0,5.5,9.5,7.0,2.0,5.5,4.0,Goku,MUI (Perfected Ultra Instinct),Dragon Ball Universe,97.0,96.5,11.48,96.5,6.0,5.0,10.5,96.5,5.0,2.0,9.5,9.5,2.0,1.0,9.5,8.0,
Might Guy,Eight Gates,Naruto,33.3,32.4,8.93,32.4,8.0,5.0,19.5,32.4,2.0,1.0,9.0,3.0,1.0,1.0,5.5,3.0,Gon Freecss,Ryu and Ko,Hunter x Hunter,13.0,12.12,3.37,12.12,8.0,5.0,4.55,13.0,1.5,1.0,3.5,1.5,1.0,1.0,2.5,1.5,
Muzan,True Form,Demon Slayer,16.92,16.92,8.35,16.02,9.0,100.0,5.35,16.92,3.0,7.5,4.0,4.0,1.0,3.0,6.5,4.0,Chrollo Lucilfer,Skill Hunter Peak,Hunter x Hunter,13.0,13.0,3.67,13.0,9.0,5.0,4.55,13.0,4.5,1.0,6.0,5.0,1.5,4.0,3.0,3.0,
Geto Suguru,Curse Manipulation / Adult,Jujutsu Kaisen,15.12,15.12,3.07,15.12,8.0,5.0,7.5,15.12,5.0,2.0,6.5,4.5,2.0,6.0,4.5,4.5,Killua Zoldyck,Godspeed,Hunter x Hunter,13.0,13.0,5.51,13.0,8.0,5.0,4.85,13.0,3.5,1.0,5.5,7.0,1.0,2.0,3.5,4.0,
Cell,Perfect Form,Dragon Ball Universe,51.38,43.98,11.48,43.98,9.0,5.0,10.5,43.98,4.5,8.5,7.5,5.5,1.0,1.5,7.5,6.0,Supreme Deity,Full Power,Seven Deadly Sins,51.38,51.38,8.93,57.8,9.0,5.0,19.5,51.38,7.0,7.0,7.0,6.0,6.0,7.5,8.0,8.0,
Satoru Gojo,Shinjuku Showdown Arc,Jujutsu Kaisen,17.02,15.12,3.07,15.12,9.0,5.0,7.5,15.12,7.0,1.0,2.0,6.5,6.0,7.5,8.0,7.0,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,My Hero Academia,27.18,27.18,9.43,25.77,8.0,5.0,16.5,27.18,2.5,1.5,7.5,5.5,2.0,1.0,5.5,3.0,
