Successfully applied 332 fixes

[16] Supreme Deity (Full Power) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk severely outstats and overwhelms with strength
[189] Future Trunks (Sword of Hope / Zamasu Fight) vs Cell (Perfect Form) | 0.0 -> 1.0 | Trunks vastly outscales Perfect Cell in all categories
[194] Hashirama Senju (Sage Mode / War Arc) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Hashirama vastly outscales in destructive capacity and sealing
[198] Goku (MUI (Perfected Ultra Instinct)) vs Frieza (Black Frieza Form) | 1.0 -> 0.0 | Black Frieza canonically one-shot MUI Goku
[227] Gohan (Beast Form / Super Hero Arc) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | Gohan massively outstats and blitzes Meliodas.
[228] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Kamui ignores durability and Kakashi vastly outstats.
[240] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya massively outstats in speed and AP.
[251] Sasuke Uchiha (New Era / Susano'o) vs King (Full Wings / Form One) | 0.0 -> 1.0 | Sasuke vastly outstats in speed and AP.
[257] Tomura Shigaraki (Post-Surgery / Complete) vs Asta (Perfect Devil Union / Zetten) | 1.0 -> 0.0 | Asta massively outstats in speed and one-shots.
[302] Future Trunks (Sword of Hope / Zamasu Fight) vs Lucifero (True Form) | 0.0 -> 1.0 | Trunks massively outstats and blitzes Lucifero.
[310] Megumi Fushiguro (Mahoraga) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Mahoraga outstats, survives Pain Packer, and adapts.
[315] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Midoriya possesses far superior speed and AP.
[340] Naruto Uzumaki (Baryon Mode) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | Baryon Mode Naruto vastly outstats and blitzes.
[343] Hashirama Senju (Sage Mode / War Arc) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Hashirama vastly outstats Netero in AP, durability.
[345] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Ban (Post-Purgatory with Snatch) | 0.0 -> 1.0 | Kamui bypasses durability; Kakashi remains intangible. (LC)
[353] Muzan (True Form) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | Muzan easily overwhelms with superior speed, regeneration.
[357] Tomura Shigaraki (Post-Surgery / Complete) vs Meliodas (True Magic Form) | 1.0 -> 0.0 | Meliodas massively outstats and safely vaporizes Shigaraki.
[361] Obito Uchiha (Jubi Jinchuriki) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | TSOs bypass durability and cannot be reflected.
[376] Noelle Silva (Saint Valkyrie / Spirit Dive) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Noelle holds a massive speed, AP advantage.
[384] Megumi Fushiguro (Mahoraga) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Chrollo lacks damage output to bypass adaptation.
[400] Itachi Uchiha (Edo Tensei) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Edo immortality and genjutsu bypass Netero's defenses
[409] Ban (Post-Purgatory with Snatch) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Post-Purgatory Ban outscales Estarossa massively in stats
[414] Ryomen Sukuna (True Form / Full Power) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Sukuna outspeeds and World Cleave bypasses durability
[417] Geto Suguru (Curse Manipulation / Adult) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Geto overwhelms with sheer volume of curses
[430] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | DMS Kakashi blitzes and erases with Kamui
[440] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Deku massively outspeeds and one-shots Chrollo
[444] Meliodas (True Magic Form) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | True Magic Form safely outscales The One Ultimate
[445] Mahito (True form) vs Yuno (Spirit of Zephyr / Spirit Dive) | 1.0 -> 0.0 | Yuno immensely outspeeds and continuously vaporizes Mahito
[448] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 1.0 -> 0.0 | Noelle vastly outscales Yuji in speed and power
[453] Might Guy (Eight Gates) vs Itachi Uchiha (Edo Tensei) | 1.0 -> 0.0 | Edo Tensei outlasts Eight Gates time limit
[459] Muzan (True Form) vs Adult Gon (Adult Form) | 1.0 -> 0.0 | Adult Gon vastly outstats and obliterates Muzan
[472] Satoru Gojo (Shinjuku Showdown Arc) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Allen cannot bypass Infinity; Gojo wins via Void
[479] Future Trunks (Sword of Hope / Zamasu Fight) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Future Trunks infinitely outscales Battle Beast
[482] Itachi Uchiha (Edo Tensei) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 1.0 -> 0.0 | Noelle massively outspeeds and continuously vaporizes Itachi
[489] Meruem (Post-Rose / Great King) vs Diane (Post-Training / Gideon) | 1.0 -> 0.0 | Diane massively outscales Meruem in physical stats
[491] Sasuke Uchiha (New Era / Susano'o) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Sasuke infinitely outscales and blitzes Meruem
[502] Ryomen Sukuna (True Form / Full Power) vs Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) | 1.0 -> 0.0 | DMS Kakashi blitzes and ignores durability with Kamui
[506] Noelle Silva (Saint Valkyrie / Spirit Dive) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Noelle outspeeds and overpowers Meruem massively
[512] Toji Fushiguro (Peak Form) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Toji outskills and Soul Katana ignores durability (LC)
[518] Sasuke Uchiha (New Era / Susano'o) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Adult Sasuke massively outscales Escanor in stats
[521] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Katsuki Bakugo (Cluster / Plus Ultra) | 0.0 -> 1.0 | Deku outscales Bakugo with Gearshift and Fa Jin
[534] Krillin (Super Hero Arc / Destructo Disc) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Krillin infinitely outscales Meruem in all stats
[540] Katsuki Bakugo (Cluster / Plus Ultra) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Bakugo outscales Adult Gon in destructive power
[542] Piccolo (Orange Form / Super Hero Arc) vs Cell (Perfect Form) | 0.0 -> 1.0 | Orange Piccolo infinitely outscales Perfect Cell
[545] Adult Gon (Adult Form) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Adult Gon slightly outstats and overpowers Meruem (LC)
[548] Adult Gon (Adult Form) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Adult Gon outstats and blitzes Homelander
[557] Escanor (The One Ultimate) vs Invincible (Post-Resurrections (Comics)) | 1.0 -> 0.0 | Invincible massively outscales Escanor in physical stats
[567] Naruto Uzumaki (Baryon Mode) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Baryon Mode Naruto outspeeds and drains lifespan
[571] Lucifero (True Form) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Lucifero outspeeds and overpowers Escanor with gravity
[589] Asta (Perfect Devil Union / Zetten) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Asta outspeeds and Anti-Magic perfectly counters
[594] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | Deku massively outstats and blitzes Kurapika
[605] Julius Novachrono (Wizard King Peak) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Julius outstats and time magic bypasses durability.
[614] King (Full Wings / Form One) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Full Wings King canonically defeated stronger Mael.
[615] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Kamui provides intangibility and complete durability negation.
[628] Naruto Uzumaki (Baryon Mode) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Baryon Mode vastly outstats and blitzes Meruem.
[638] Geto Suguru (Curse Manipulation / Adult) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya vastly outstats and blitzes Geto easily.
[645] Meliodas (True Magic Form) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Meliodas vastly outstats Merlin in every category.
[678] Sasuke Uchiha (New Era / Susano'o) vs Yami Sukehiro (Death Thrust / Final War) | 0.0 -> 1.0 | Sasuke heavily outstats Yami in Attack Potency.
[680] Sasuke Uchiha (New Era / Susano'o) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Sasuke heavily outstats Diane in speed, AP.
[681] Mahito (True form) vs Asta (Perfect Devil Union / Zetten) | 1.0 -> 0.0 | Asta speed blitzes and anti-magic nullifies hax.
[682] Krillin (Super Hero Arc / Destructo Disc) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Krillin vastly outstats Netero in every category.
[683] Asta (Perfect Devil Union / Zetten) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Asta blitzes and anti-magic counters mind control.
[687] Krillin (Super Hero Arc / Destructo Disc) vs Supreme Deity (Full Power) | 0.0 -> 1.0 | Krillin outstats massively; blitzes and one-shots.
[713] Tomura Shigaraki (Post-Surgery / Complete) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Shigaraki heavily outstats Gon and Decay one-shots.
[714] Geto Suguru (Curse Manipulation / Adult) vs Adult Gon (Adult Form) | 1.0 -> 0.0 | Adult Gon outstats massively and blitzes Geto.
[719] Muzan (True Form) vs All Might (Prime) | 1.0 -> 0.0 | All Might heavily outstats and obliterates Muzan.
[725] Tomura Shigaraki (Post-Surgery / Complete) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Shigaraki vastly outstats Meruem and Decay one-shots.
[730] Toji Fushiguro (Peak Form) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Toji blitzes and Soul Katana ignores durability.
[732] Battle Beast (Final Battle Peak (Comics)) vs Hulk (Devil Hulk (Comics)) | 1.0 -> 0.0 | Devil Hulk vastly outstats and has regeneration.
[733] Krillin (Super Hero Arc / Destructo Disc) vs Cell (Perfect Form) | 0.0 -> 1.0 | Current Krillin scales vastly higher than Cell.
[749] Mahito (True form) vs Izuku Midoriya (Fa Jin / Gearshift / Full cowl) | 1.0 -> 0.0 | Midoriya heavily outstats and blitzes Mahito easily.
[752] Ryomen Sukuna (True Form / Full Power) vs Asta (Perfect Devil Union / Zetten) | 1.0 -> 0.0 | Asta massively outstats Sukuna in speed, AP.
[767] Sasuke Uchiha (New Era / Susano'o) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Sasuke outstats and has overwhelming genjutsu hax.
[772] Itachi Uchiha (Edo Tensei) vs All For One (Rewind Drug / Omni-Factor) | 0.0 -> 1.0 | Edo Tensei immortality and Totsuka Blade seal.
[779] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Adult Gon (Adult Form) | 1.0 -> 0.0 | Adult Gon outstats Itadori in speed, power.
[782] Krillin (Super Hero Arc / Destructo Disc) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Current Krillin outstats Allen by astronomical margins.
[785] Minato Namikaze (Edo Tensei) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Minato outstats, blitzes, and has Edo immortality.
[787] Katsuki Bakugo (Cluster / Plus Ultra) vs Killua Zoldyck (Godspeed) | 0.0 -> 1.0 | Bakugo massively outstats and blitzes Killua easily.
[795] Toji Fushiguro (Peak Form) vs Katsuki Bakugo (Cluster / Plus Ultra) | 1.0 -> 0.0 | Bakugo vastly outstats Toji in speed, AP.
[808] Julius Novachrono (Wizard King Peak) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Julius blitzes and time-ages Meruem to dust
[828] Yuno (Spirit of Zephyr / Spirit Dive) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Yuno speed blitzes and destroys with spatial magic
[831] All For One (Rewind Drug / Omni-Factor) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | All For One heavily outstats and outhaxes
[832] Ryomen Sukuna (True Form / Full Power) vs Sasuke Uchiha (New Era / Susano'o) | 1.0 -> 0.0 | Sasuke vastly outstats and blitzes easily
[837] Itachi Uchiha (Edo Tensei) vs All Might (Prime) | 0.0 -> 1.0 | All Might cannot bypass Edo Tensei regeneration
[844] Sasuke Uchiha (New Era / Susano'o) vs Gowther (Emotions Restored) | 0.0 -> 1.0 | Sasuke blitzes, outstats, and resists mental attacks
[865] Julius Novachrono (Wizard King Peak) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Julius vastly outspeeds and ages her to dust
[866] Asta (Perfect Devil Union / Zetten) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Asta completely outstats and speed blitzes easily
[867] Megumi Fushiguro (Mahoraga) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Mahoraga adapts to Meruem's physical attacks. (LC)
[873] Cell (Perfect Form) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Cell vastly outstats and blitzes easily
[886] All Might (Prime) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Tanks Netero's attacks and heavily outstats. (LC)
[902] Katsuki Bakugo (Cluster / Plus Ultra) vs Kurapika (Yorknew City Arc / Emperor Time) | 0.0 -> 1.0 | Bakugo heavily outstats and speed blitzes easily
[930] Kaguya Otsutsuki (Truth Seeker Orbs) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Kaguya vastly outspeeds and has superior hax
[940] Krillin (Super Hero Arc / Destructo Disc) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Krillin vastly outstats and easily speed blitzes
[945] Ryomen Sukuna (True Form / Full Power) vs Tomura Shigaraki (Post-Surgery / Complete) | 1.0 -> 0.0 | Shigaraki heavily outstats and Decay one-shots
[953] Piccolo (Orange Form / Super Hero Arc) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Piccolo vastly outstats in speed and power
[958] Krillin (Super Hero Arc / Destructo Disc) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Krillin vastly outstats and speed blitzes easily
[967] Satoru Gojo (Shinjuku Showdown Arc) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Invincible has no way to bypass Infinity
[979] Minato Namikaze (Edo Tensei) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Minato heavily outspeeds and can seal Meruem
[983] Krillin (Super Hero Arc / Destructo Disc) vs Lucifero (True Form) | 0.0 -> 1.0 | Krillin vastly outstats in power and speed
[984] Mahito (True form) vs Isaac Netero (Zero Hand Active) | 0.0 -> 1.0 | Netero cannot damage Mahito's soul
[996] Muzan (True Form) vs Itachi Uchiha (Edo Tensei) | 1.0 -> 0.0 | Itachi outhaxes with Amaterasu and Totsuka Blade
[999] Kaguya Otsutsuki (Truth Seeker Orbs) vs Lucifero (True Form) | 0.0 -> 1.0 | Kaguya significantly outstats and has superior hax
[1003] Krillin (Super Hero Arc / Destructo Disc) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Krillin outscales in speed and energy projection.
[1010] Sasuke Uchiha (New Era / Susano'o) vs Asta (Perfect Devil Union / Zetten) | 0.0 -> 1.0 | Sasuke severely outscales in stats and hax.
[1024] Satoru Gojo (Shinjuku Showdown Arc) vs Yami Sukehiro (Death Thrust / Final War) | 1.0 -> 0.0 | Dimension slash cuts through space and Infinity.
[1032] Yami Sukehiro (Death Thrust / Final War) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Spatial magic bypasses durability; superior combat speed.
[1035] Yami Sukehiro (Death Thrust / Final War) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Spatial magic bypasses durability; superior combat speed.
[1042] Yami Sukehiro (Death Thrust / Final War) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Yami vastly outscales in speed and hax.
[1044] Muzan (True Form) vs Shoto Todoroki (Flashfreeze Heatwave) | 1.0 -> 0.0 | Todoroki outscales and incinerates with massive AOE.
[1045] Megumi Fushiguro (Mahoraga) vs Toji Fushiguro (Peak Form) | 0.0 -> 1.0 | Mahoraga significantly outscales in speed and strength.
[1056] Itachi Uchiha (Edo Tensei) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Tsukuyomi and Amaterasu bypass durability instantly.
[1057] Lucifero (True Form) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Lucifero speedblitzes and crushes with passive gravity.
[1068] Sasuke Uchiha (New Era / Susano'o) vs Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) | 0.0 -> 1.0 | Adult Sasuke significantly outscales Shippuden characters. (LC)
[1077] Sasuke Uchiha (New Era / Susano'o) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Sasuke possesses superior stats and versatile hax.
[1101] Star and Stripe (New Order Active) vs Battle Beast (Final Battle Peak (Comics)) | 1.0 -> 0.0 | Battle Beast significantly outscales and speedblitzes immediately.
[1105] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Madara possesses immortality, regeneration, and matter erasure.
[1106] Kaguya Otsutsuki (Truth Seeker Orbs) vs Battle Beast (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Kaguya outhaxes with dimension shifting and disintegration.
[1115] All For One (Rewind Drug / Omni-Factor) vs Tomura Shigaraki (Post-Surgery / Complete) | 1.0 -> 0.0 | Shigaraki explicitly outscales and absorbed AFO's power.
[1117] Lucifero (True Form) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Lucifero outscales in speed and passive gravity.
[1120] Krillin (Super Hero Arc / Destructo Disc) vs King (Full Wings / Form One) | 0.0 -> 1.0 | Krillin vastly outscales in speed and AP.
[1121] Star and Stripe (New Order Active) vs Adult Gon (Adult Form) | 0.0 -> 1.0 | Vastly outscales in speed, AP, and hax.
[1125] Shoto Todoroki (Flashfreeze Heatwave) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Todoroki significantly outscales in AP and speed.
[1131] Mahito (True form) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Diane lacks soul damage to bypass regeneration.
[1134] Killua Zoldyck (Godspeed) vs Homelander (V1 (Comics)) | 0.0 -> 1.0 | Killua vastly outspeeds and bypasses durability.
[1139] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Merlin (Infinity Active) | 0.0 -> 1.0 | DMS Kakashi speedblitzes and snipes with Kamui.
[1141] Chrollo Lucilfer (Skill Hunter Peak) vs Homelander (V1 (Comics)) | 1.0 -> 0.0 | Homelander vastly outscales in speed and AP.
[1146] Yuno (Spirit of Zephyr / Spirit Dive) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Yuno speedblitzes before Eve can consciously react.
[1152] Satoru Gojo (Shinjuku Showdown Arc) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Escanor cannot bypass Infinity; vulnerable to Void.
[1157] Noelle Silva (Saint Valkyrie / Spirit Dive) vs Escanor (The One Ultimate) | 0.0 -> 1.0 | Noelle heavily outscales in combat speed.
[1163] Krillin (Super Hero Arc / Destructo Disc) vs Yami Sukehiro (Death Thrust / Final War) | 0.0 -> 1.0 | Krillin vastly outscales in speed and AP.
[1168] Asta (Perfect Devil Union / Zetten) vs Diane (Post-Training / Gideon) | 0.0 -> 1.0 | Asta significantly outscales in speed and AP.
[1174] Nanami Kento (Shibuya Incident Peak) vs Shoto Todoroki (Flashfreeze Heatwave) | 1.0 -> 0.0 | Todoroki significantly outscales in AP and range.
[1175] Muzan (True Form) vs Homelander (V1 (Comics)) | 1.0 -> 0.0 | Homelander has flight, range, and superior AP.
[1187] Adult Gon (Adult Form) vs Chrollo Lucilfer (Skill Hunter Peak) | 0.0 -> 1.0 | Adult Gon speedblitzes and one-shots.
[1188] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Deku speedblitzes before spells can be cast.
[1194] Sasuke Uchiha (New Era / Susano'o) vs Meliodas (True Magic Form) | 0.0 -> 1.0 | Sasuke possesses superior stats and hax. (LC)
[1197] Izuku Midoriya (Fa Jin / Gearshift / Full cowl) vs Feitan Portor (Pain Packer) | 0.0 -> 1.0 | Deku vastly outscales in speed and AP.
[1199] Piccolo (Orange Form / Super Hero Arc) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Piccolo outscales by astronomical margins.
[1201] All For One (Rewind Drug / Omni-Factor) vs All Might (Prime) | 1.0 -> 0.0 | Prime All Might vastly outscales and blitzes
[1204] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Isaac Netero (Zero Hand Active) | 1.0 -> 0.0 | Netero's speed and range overwhelm Yuji (LC)
[1208] Krillin (Super Hero Arc / Destructo Disc) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Krillin massively outscales in speed and AP
[1211] Itachi Uchiha (Edo Tensei) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Invincible cannot bypass Edo regeneration; susceptible to hax
[1212] Itachi Uchiha (Edo Tensei) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Thragg lacks hax resistance or anti-regeneration
[1218] Shoto Todoroki (Flashfreeze Heatwave) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Todoroki outranges with massive AoE elemental damage
[1303] Mahito (True form) vs Toji Fushiguro (Peak Form) | 1.0 -> 0.0 | Toji outspeeds, bypasses domain, and splits soul
[1314] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs All Might (Prime) | 1.0 -> 0.0 | Prime All Might blitzes and completely outscales
[1317] Future Trunks (Sword of Hope / Zamasu Fight) vs Allen the Alien (Second Evolution (Comics)) | 0.0 -> 1.0 | Trunks infinitely outscales in AP and speed
[1319] King (Full Wings / Form One) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | King outscales heavily and blitzes Atom Eve
[1403] Krillin (Super Hero Arc / Destructo Disc) vs Noelle Silva (Saint Valkyrie / Spirit Dive) | 0.0 -> 1.0 | Krillin massively outscales in speed and AP.
[1412] Kaguya Otsutsuki (Truth Seeker Orbs) vs Merlin (Infinity Active) | 0.0 -> 1.0 | Kaguya's speed, AP, and dimensional BFR overwhelm.
[1415] Madara Uchiha (Jubi Jinchuriki (Shinju Absorbed)) vs Atom Eve (Second Resurrection (Comics)) | 0.0 -> 1.0 | Madara outscales and utilizes Truth-Seeking Orbs perfectly.
[1432] Estarossa (Post-Commandment Absorption) vs Battle Beast (Final Battle Peak (Comics)) | 1.0 -> 0.0 | Battle Beast vastly outscales in speed and power.
[1433] Future Trunks (Sword of Hope / Zamasu Fight) vs Omni-Man (Final Battle Peak (Comics)) | 0.0 -> 1.0 | Trunks massively outscales in stats and AP.
[1434] Future Trunks (Sword of Hope / Zamasu Fight) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Trunks massively outscales in stats and AP.
[1444] Satoru Gojo (Shinjuku Showdown Arc) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Thragg cannot bypass Infinity and gets haxed.
[1446] Mahito (True form) vs Invincible (Post-Resurrections (Comics)) | 0.0 -> 1.0 | Mahito's domain perfectly targets the unprotected soul.
[1462] Yuji Itadori (Complete Sukuna Gauntlet Peak) vs Tomura Shigaraki (Post-Surgery / Complete) | 1.0 -> 0.0 | Shigaraki massively outscales and Decay one-shots.
[1467] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Thragg (Post-Timeskip (Comics)) | 0.0 -> 1.0 | Kamui intangibility and spatial duraneg completely overwhelm.
[1469] Katsuki Bakugo (Cluster / Plus Ultra) vs Gon Freecss (Ryu and Ko) | 0.0 -> 1.0 | Bakugo significantly outscales base Gon in stats.
[1473] Kakashi Hatake (DMS (Dual Mangekyo Sharingan)) vs Estarossa (Post-Commandment Absorption) | 0.0 -> 1.0 | Kamui prevents counterattacks while spatially decapitating perfectly.
[1486] Might Guy (Eight Gates) vs Meruem (Post-Rose / Great King) | 0.0 -> 1.0 | Guy massively outscales Meruem in speed and AP.
