index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
748,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Hisoka Morow,Ryu and Ko,13.0,1.0
749,Mahito,True form,12.12,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,1.0
750,Ryomen Sukuna,True Form / Full Power,17.02,Gohan,Beast Form / Super Hero Arc,97.0,0.0
751,Thragg,Post-Timeskip (Comics),36.02,Allen the Alien,Second Evolution (Comics),32.9,0.0
752,Ryomen Sukuna,True Form / Full Power,17.02,Asta,Perfect Devil Union / Zetten,31.33,1.0
753,Satoru Gojo,Shinjuku Showdown Arc,17.02,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,0.0
754,Minato Namikaze,Edo Tensei,27.18,Gon Freecss,Ryu and Ko,13.0,1.0
755,Feitan Portor,Pain Packer,13.0,Zeldris,3rd Demon Mark,57.8,0.0
756,Obito Uchiha,Jubi Jinchuriki,31.33,Cell,Perfect Form,51.38,0.0
757,Toji Fushiguro,Peak Form,15.12,Gowther,Emotions Restored,51.38,0.0
758,Battle Beast,Final Battle Peak (Comics),36.02,Thor,Rune King Thor (Comics),99.25,0.0
759,Killua Zoldyck,Godspeed,13.0,Supreme Deity,Full Power,51.38,0.0
760,Frieza,Black Frieza Form,97.0,Isaac Netero,Zero Hand Active,17.02,1.0
761,Lucifero,True Form,27.18,Killua Zoldyck,Godspeed,13.0,1.0
762,Mahito,True form,12.12,Chaos,Primordial Entity,96.0,0.0
763,Frieza,Black Frieza Form,97.0,Invincible,Post-Resurrections (Comics),36.02,1.0
764,Toji Fushiguro,Peak Form,15.12,Hulk,Devil Hulk (Comics),94.5,0.0
765,Katsuki Bakugo,Cluster / Plus Ultra,23.04,All Might,Prime,27.18,0.0
766,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
767,Sasuke Uchiha,New Era / Susano'o,34.7,Battle Beast,Final Battle Peak (Comics),36.02,0.0
768,Feitan Portor,Pain Packer,13.0,Supreme Deity,Full Power,51.38,0.0
769,Megumi Fushiguro,Mahoraga,15.12,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
770,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
771,Cell,Perfect Form,51.38,Thor,Rune King Thor (Comics),99.25,0.0
772,Itachi Uchiha,Edo Tensei,24.12,All For One,Rewind Drug / Omni-Factor,24.12,0.0
773,Julius Novachrono,Wizard King Peak,19.94,Zeldris,3rd Demon Mark,57.8,0.0
774,Star and Stripe,New Order Active,24.12,Meliodas,True Magic Form,57.8,0.0
775,Hashirama Senju,Sage Mode / War Arc,29.59,Gon Freecss,Ryu and Ko,13.0,1.0
776,All Might,Prime,27.18,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
777,Krillin,Super Hero Arc / Destructo Disc,97.0,Hulk,Devil Hulk (Comics),94.5,0.0
778,Tomura Shigaraki,Post-Surgery / Complete,25.77,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
779,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Adult Gon,Adult Form,17.02,1.0
780,Shoto Todoroki,Flashfreeze Heatwave,23.04,Thragg,Post-Timeskip (Comics),36.02,0.0
781,Naruto Uzumaki,Baryon Mode,51.38,Cell,Perfect Form,51.38,0.0
782,Krillin,Super Hero Arc / Destructo Disc,97.0,Allen the Alien,Second Evolution (Comics),32.9,0.0
783,Might Guy,Eight Gates,33.3,Feitan Portor,Pain Packer,13.0,1.0
784,Goku,MUI (Perfected Ultra Instinct),97.0,Yuno,Spirit of Zephyr / Spirit Dive,29.68,1.0
785,Minato Namikaze,Edo Tensei,27.18,Isaac Netero,Zero Hand Active,17.02,0.0
786,Julius Novachrono,Wizard King Peak,19.94,Hulk,Devil Hulk (Comics),94.5,0.0
787,Katsuki Bakugo,Cluster / Plus Ultra,23.04,Killua Zoldyck,Godspeed,13.0,0.0
788,Yami Sukehiro,Death Thrust / Final War,27.18,Thor,Rune King Thor (Comics),99.25,0.0
789,Meliodas,True Magic Form,57.8,Omni-Man,Final Battle Peak (Comics),31.33,1.0
790,Toji Fushiguro,Peak Form,15.12,Invincible,Post-Resurrections (Comics),36.02,0.0
791,Chrollo Lucilfer,Skill Hunter Peak,13.0,Atom Eve,Second Resurrection (Comics),31.33,0.0
792,Satoru Gojo,Shinjuku Showdown Arc,17.02,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
793,All Might,Prime,27.18,Homelander,V1 (Comics),8.17,1.0
794,Star and Stripe,New Order Active,24.12,Homelander,V1 (Comics),8.17,1.0
795,Toji Fushiguro,Peak Form,15.12,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
796,Merlin,Infinity Active,57.8,Thor,Rune King Thor (Comics),99.25,0.0
797,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Hulk,Devil Hulk (Comics),94.5,0.0
798,Might Guy,Eight Gates,33.3,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
799,Satoru Gojo,Shinjuku Showdown Arc,17.02,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
