index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
348,All For One,Rewind Drug / Omni-Factor,24.12,Estarossa,Post-Commandment Absorption,51.38,0.0
349,Killua Zoldyck,Godspeed,13.0,Meliodas,True Magic Form,57.8,0.0
350,Obito Uchiha,Jubi Jinchuriki,31.33,All For One,Rewind Drug / Omni-Factor,24.12,1.0
351,Naruto Uzumaki,Baryon Mode,51.38,All For One,Rewind Drug / Omni-Factor,24.12,1.0
352,Yuno,Spirit of Zephyr / Spirit Dive,29.68,Meliodas,True Magic Form,57.8,0.0
353,Muzan,True Form,16.92,Kurapika,Yorknew City Arc / Emperor Time,12.12,0.0
354,Adult Gon,Adult Form,17.02,Estarossa,Post-Commandment Absorption,51.38,0.0
355,Estarossa,Post-Commandment Absorption,51.38,Homelander,V1 (Comics),8.17,1.0
356,Toji Fushiguro,Peak Form,15.12,Meruem,Post-Rose / Great King,18.12,0.0
357,Tomura Shigaraki,Post-Surgery / Complete,25.77,Meliodas,True Magic Form,57.8,1.0
358,Lucifero,True Form,27.18,Allen the Alien,Second Evolution (Comics),32.9,0.0
359,Toji Fushiguro,Peak Form,15.12,Itachi Uchiha,Edo Tensei,24.12,0.0
360,Escanor,The One Ultimate,57.8,Homelander,V1 (Comics),8.17,1.0
361,Obito Uchiha,Jubi Jinchuriki,31.33,Meliodas,True Magic Form,57.8,0.0
362,Star and Stripe,New Order Active,24.12,Kurapika,Yorknew City Arc / Emperor Time,12.12,1.0
363,Satoru Gojo,Shinjuku Showdown Arc,17.02,Merlin,Infinity Active,57.8,1.0
364,Hashirama Senju,Sage Mode / War Arc,29.59,Cell,Perfect Form,51.38,0.0
365,Obito Uchiha,Jubi Jinchuriki,31.33,Supreme Deity,Full Power,51.38,0.0
366,Cell,Perfect Form,51.38,Diane,Post-Training / Gideon,51.38,1.0
367,Yami Sukehiro,Death Thrust / Final War,27.18,Killua Zoldyck,Godspeed,13.0,1.0
368,Itachi Uchiha,Edo Tensei,24.12,Gon Freecss,Ryu and Ko,13.0,1.0
369,Star and Stripe,New Order Active,24.12,Atom Eve,Second Resurrection (Comics),31.33,0.0
370,Toji Fushiguro,Peak Form,15.12,Asta,Perfect Devil Union / Zetten,31.33,0.0
371,Killua Zoldyck,Godspeed,13.0,Battle Beast,Final Battle Peak (Comics),36.02,0.0
372,Meliodas,True Magic Form,57.8,Estarossa,Post-Commandment Absorption,51.38,1.0
373,Killua Zoldyck,Godspeed,13.0,Gowther,Emotions Restored,51.38,0.0
374,Kaguya Otsutsuki,Truth Seeker Orbs,51.38,All For One,Rewind Drug / Omni-Factor,24.12,1.0
375,Cell,Perfect Form,51.38,Adult Gon,Adult Form,17.02,1.0
376,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,Diane,Post-Training / Gideon,51.38,0.0
377,Shoto Todoroki,Flashfreeze Heatwave,23.04,Meliodas,True Magic Form,57.8,0.0
378,Adult Gon,Adult Form,17.02,Chaos,Primordial Entity,96.0,0.0
379,All For One,Rewind Drug / Omni-Factor,24.12,Frieza,Black Frieza Form,97.0,0.0
380,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,1.0
381,Merlin,Infinity Active,57.8,Thragg,Post-Timeskip (Comics),36.02,0.0
382,Megumi Fushiguro,Mahoraga,15.12,Estarossa,Post-Commandment Absorption,51.38,0.0
383,Hashirama Senju,Sage Mode / War Arc,29.59,Katsuki Bakugo,Cluster / Plus Ultra,23.04,1.0
384,Megumi Fushiguro,Mahoraga,15.12,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
385,Meliodas,True Magic Form,57.8,Diane,Post-Training / Gideon,51.38,1.0
386,Supreme Deity,Full Power,51.38,Thragg,Post-Timeskip (Comics),36.02,1.0
387,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Minato Namikaze,Edo Tensei,27.18,1.0
388,Star and Stripe,New Order Active,24.12,All Might,Prime,27.18,0.0
389,Izuku Midoriya,Fa Jin / Gearshift / Full cowl,27.18,Gowther,Emotions Restored,51.38,0.0
390,Obito Uchiha,Jubi Jinchuriki,31.33,Hisoka Morow,Ryu and Ko,13.0,1.0
391,Mahito,True form,12.12,Chrollo Lucilfer,Skill Hunter Peak,13.0,1.0
392,Satoru Gojo,Shinjuku Showdown Arc,17.02,Chaos,Primordial Entity,96.0,0.0
393,Geto Suguru,Curse Manipulation / Adult,15.12,Escanor,The One Ultimate,57.8,0.0
394,Adult Gon,Adult Form,17.02,Ban,Post-Purgatory with Snatch,57.8,0.0
395,All Might,Prime,27.18,Gohan,Beast Form / Super Hero Arc,97.0,0.0
396,Chrollo Lucilfer,Skill Hunter Peak,13.0,Chaos,Primordial Entity,96.0,0.0
397,Gowther,Emotions Restored,51.38,Omni-Man,Final Battle Peak (Comics),31.33,0.0
398,Omni-Man,Final Battle Peak (Comics),31.33,Thor,Rune King Thor (Comics),99.25,0.0
399,Hashirama Senju,Sage Mode / War Arc,29.59,Hisoka Morow,Ryu and Ko,13.0,1.0
