index,a_name,a_form,a_tier,b_name,b_form,b_tier,winner
646,Kurapika,Yorknew City Arc / Emperor Time,12.12,Isaac Netero,Zero Hand Active,17.02,0.0
647,Obito Uchiha,Jubi Jinchuriki,31.33,Thor,Rune King Thor (Comics),99.25,0.0
648,Shoto Todoroki,Flashfreeze Heatwave,23.04,Diane,Post-Training / Gideon,51.38,0.0
649,Itachi Uchiha,Edo Tensei,24.12,Cell,Perfect Form,51.38,0.0
650,Star and Stripe,New Order Active,24.12,Noelle Silva,Saint Valkyrie / Spirit Dive,29.59,0.0
651,Toji Fushiguro,Peak Form,15.12,Frieza,Black Frieza Form,97.0,0.0
652,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,All For One,Rewind Drug / Omni-Factor,24.12,1.0
653,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Invincible,Post-Resurrections (Comics),36.02,0.0
654,Satoru Gojo,Shinjuku Showdown Arc,17.02,Piccolo,Orange Form / Super Hero Arc,97.0,0.0
655,Allen the Alien,Second Evolution (Comics),32.9,Homelander,V1 (Comics),8.17,1.0
656,Toji Fushiguro,Peak Form,15.12,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
657,All Might,Prime,27.18,Chaos,Primordial Entity,96.0,0.0
658,Killua Zoldyck,Godspeed,13.0,Chrollo Lucilfer,Skill Hunter Peak,13.0,0.0
659,Yuji Itadori,Complete Sukuna Gauntlet Peak,15.12,Hashirama Senju,Sage Mode / War Arc,29.59,0.0
660,Shoto Todoroki,Flashfreeze Heatwave,23.04,Frieza,Black Frieza Form,97.0,0.0
661,Shoto Todoroki,Flashfreeze Heatwave,23.04,Ban,Post-Purgatory with Snatch,57.8,0.0
662,Mahito,True form,12.12,All Might,Prime,27.18,1.0
663,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Itachi Uchiha,Edo Tensei,24.12,1.0
664,Asta,Perfect Devil Union / Zetten,31.33,Hisoka Morow,Ryu and Ko,13.0,1.0
665,Muzan,True Form,16.92,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
666,Hashirama Senju,Sage Mode / War Arc,29.59,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
667,Invincible,Post-Resurrections (Comics),36.02,Hulk,Devil Hulk (Comics),94.5,0.0
668,Satoru Gojo,Shinjuku Showdown Arc,17.02,Feitan Portor,Pain Packer,13.0,1.0
669,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Homelander,V1 (Comics),8.17,1.0
670,Meruem,Post-Rose / Great King,18.12,Thragg,Post-Timeskip (Comics),36.02,0.0
671,Mahito,True form,12.12,Goku,MUI (Perfected Ultra Instinct),97.0,0.0
672,Toji Fushiguro,Peak Form,15.12,Yuno,Spirit of Zephyr / Spirit Dive,29.68,0.0
673,Sasuke Uchiha,New Era / Susano'o,34.7,Itachi Uchiha,Edo Tensei,24.12,1.0
674,Hashirama Senju,Sage Mode / War Arc,29.59,Thragg,Post-Timeskip (Comics),36.02,0.0
675,Piccolo,Orange Form / Super Hero Arc,97.0,Hulk,Devil Hulk (Comics),94.5,1.0
676,Mahito,True form,12.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
677,Madara Uchiha,Jubi Jinchuriki (Shinju Absorbed),34.7,Allen the Alien,Second Evolution (Comics),32.9,0.0
678,Sasuke Uchiha,New Era / Susano'o,34.7,Yami Sukehiro,Death Thrust / Final War,27.18,0.0
679,All For One,Rewind Drug / Omni-Factor,24.12,Adult Gon,Adult Form,17.02,0.0
680,Sasuke Uchiha,New Era / Susano'o,34.7,Diane,Post-Training / Gideon,51.38,0.0
681,Mahito,True form,12.12,Asta,Perfect Devil Union / Zetten,31.33,1.0
682,Krillin,Super Hero Arc / Destructo Disc,97.0,Isaac Netero,Zero Hand Active,17.02,0.0
683,Asta,Perfect Devil Union / Zetten,31.33,Gowther,Emotions Restored,51.38,0.0
684,Piccolo,Orange Form / Super Hero Arc,97.0,Asta,Perfect Devil Union / Zetten,31.33,1.0
685,Estarossa,Post-Commandment Absorption,51.38,Invincible,Post-Resurrections (Comics),36.02,1.0
686,Muzan,True Form,16.92,Krillin,Super Hero Arc / Destructo Disc,97.0,0.0
687,Krillin,Super Hero Arc / Destructo Disc,97.0,Supreme Deity,Full Power,51.38,0.0
688,Kakashi Hatake,DMS (Dual Mangekyo Sharingan),31.33,Hisoka Morow,Ryu and Ko,13.0,1.0
689,Ryomen Sukuna,True Form / Full Power,17.02,Adult Gon,Adult Form,17.02,1.0
690,Obito Uchiha,Jubi Jinchuriki,31.33,Star and Stripe,New Order Active,24.12,1.0
691,Cell,Perfect Form,51.38,Ban,Post-Purgatory with Snatch,57.8,1.0
692,Obito Uchiha,Jubi Jinchuriki,31.33,Ban,Post-Purgatory with Snatch,57.8,1.0
693,Toji Fushiguro,Peak Form,15.12,Thragg,Post-Timeskip (Comics),36.02,0.0
694,All For One,Rewind Drug / Omni-Factor,24.12,Thor,Rune King Thor (Comics),99.25,0.0
695,Toji Fushiguro,Peak Form,15.12,Gohan,Beast Form / Super Hero Arc,97.0,0.0
696,Julius Novachrono,Wizard King Peak,19.94,Killua Zoldyck,Godspeed,13.0,1.0
697,All Might,Prime,27.18,Hisoka Morow,Ryu and Ko,13.0,1.0
698,Gohan,Beast Form / Super Hero Arc,97.0,Atom Eve,Second Resurrection (Comics),31.33,1.0
699,Ryomen Sukuna,True Form / Full Power,17.02,Thor,Rune King Thor (Comics),99.25,0.0
